strasse;hausnummer;anzahl bussgelder
BURGMAUER;41;7
BIEGERSTR.;24-26;7
BURGMAUER;37;7
SCHLEHDORNWEG;;7
PFARRER-MOLL-STR.;54;7
EUROPARING;1;7
HOMARSTR.;47;7
PFÄLZER STR.;3-5;7
ALTEBURGER WALL;2;7
DEUTZER FREIHEIT;112-114;7
GRAEFFSTR.;3;7
SCHILLERSTR. PO;17;7
PFÄLZER STR.;24;7
HOCHSTADENSTR.;6;7
ANNASTR.;119;7
LOHSESTR.;52;7
ROLANDSTR.;81;7
BEETHOVENSTR.;12;7
HOMBERGSTR.;17;7
SEBASTIANSTR.;146;7
PFÄLZER STR.;18;7
ALARICHSTR.;8-10;7
PFÄLZER STR.;11;7
SCHILLERSTR. PO;21;7
ANNOSTR.;100;7
SCHILLERSTR. PO;23;7
NEUSSER STR.;570;7
MARTINSFELD;17;7
GARTHESTR.;18;7
GARTENWEG WE;;7
HONIGSHEIMSTR.;;7
ANNOSTR.;51;7
BÜLOWSTR.;57;7
PETERSTR.;25;7
ROLANDSTR.;88;7
SCHWALBENGASSE;10;7
BÜLOWSTR.;35;7
PETERSTR.;1-3;7
HOCHSTADENSTR.;18;7
BEETHOVENSTR.;14;7
ANSBACHER STR.;14;7
PETERSBERGSTR.;7;7
ALTEBURGER STR.;50;7
BÜLOWSTR.;23;7
ALTEBURGER STR.;47;7
ALTEBURGER STR.;46;7
BERRENRATHER STR.;162;7
IMMERMANNSTR.;50;7
ALTEBURGER STR.;40;7
BÜLOWSTR.;18;7
GARTENSTR.;9;7
GARTENSTR.;7;7
MATERNUSSTR.;25;7
PETER-MÜLLER-STR.;5;7
EINHEITSTR.;23;7
HITTORFSTR.;4;7
HITTORFSTR.;23-25;7
AN ST. KATHARINEN;10;7
FRANKFURTER STR.;723;7
MATERNUSSTR. RO;16;7
ROLSHOVER STR.;228;7
KARL-BERBUER-PLATZ;6;7
LINZER STR.;37;7
GRASEGGERSTR.;105;7
EINHEITSTR.;21;7
MÜNSTEREIFELER STR.;17;7
MATERNUSSTR. RO;3;7
LINTGASSE;16-20;7
PETER-FRANZEN-STR.;;7
ANTON-ANTWEILER-STR.;30;7
BIBERSTR.;13;7
PERLENPFUHL;7/9;7
FLEISCHMENGERGASSE;14;7
PERLENGRABEN;;7
LINDWEILERWEG;92;7
MÜNSTEREIFELER STR.;21;7
ROLSHOVER STR.;26;7
KRIEMHILDSTR. RO;;7
DEUTZ-KALKER STR.;14-16;7
ANTWERPENER STR.;3-5;7
LINDENTHALGÜRTEL;99;7
ANTWERPENER STR.;51;7
MATHIASSTR.;9;7
EVERGERSTR.;14;7
PELLENZSTR.;13-15;7
LINDENTHALGÜRTEL;84;7
GALILEISTR.;5;7
KARL-BERBUER-PLATZ;9;7
ÄGIDIUSSTR.;67-69;7
KRIELER STR.;94;7
ROLSHOVER STR.;8;7
PAULSTR.;9;7
PAULSTR.;4-6;7
MATHILDENSTR.;40;7
DEUTZ-KALKER STR.;50;7
GAEDESTR.;;7
MATHILDENSTR.;76;7
APOSTELNSTR.;11;7
LINDENTHALGÜRTEL;74;7
ROONSTR.;27;7
ROONSTR.;29;7
GLADBACHER STR.;17;7
PAUL-NIESSEN-STR.;18-20;7
ROONSTR.;44;7
APOSTELNSTR.;20/22;7
GABELSBERGERSTR.;39-41;7
AACHENER STR.;231;7
BEETHOVENSTR.;21;7
MÜNSTEREIFELER STR.;37;7
FLANDRISCHE STR.;3;7
MAUENHEIMER STR.;79;7
LINDENTHALGÜRTEL;25;7
BEETHOVENSTR.;22-24;7
MÜNSTEREIFELER STR.;43;7
GERMANIASTR.;86;7
ALBERTUSSTR.;47-49;7
APOSTELNSTR.;40;7
FRANKFURTER STR. PO;196;7
KAISER-WILHELM-RING;15-21;7
GABELSBERGERSTR.;37;7
GABELSBERGERSTR.;35;7
GABELSBERGERSTR.;33;7
KAISER-WILHELM-RING;11-13;7
APOSTELNSTR.;46/48;7
MAURITIUSSTEINWEG;13;7
MAURITIUSSTEINWEG;31;7
HEISTERBACHSTR.;2;7
APOSTELNSTR.;7-11;7
APOSTELNSTR.;8-10;7
GABELSBERGERSTR.;23;7
GROSSE WITSCHGASSE;50;7
GROSSE WITSCHGASSE;60;7
GROSSE WITSCHGASSE;1B;7
NEUSSER STR.;559;7
MAURITIUSSTEINWEG;5;7
APPELLHOFPLATZ;23-25;7
MAURITIUSSTEINWEG;52;7
KARL-MARX-ALLEE;5;7
APPELLHOFPLATZ;25;7
GOETHESTR. PO;13;7
MAURITIUSWALL;11-13;7
ARMINIUSSTR.;4-6;7
BRÜSSELER PLATZ;8;7
ARNDTSTR.;2-4;7
HEIDESTR. PO;238;7
FRANKFURTER STR. PO;772;7
JUSTINIANSTR.;2;7
GROSSE TELEGRAPHENSTR.;2;7
FÜRST-PÜCKLER-STR.;74;7
KARLSTR.;24;7
PANTALEONSWALL;15;7
MAURITIUSWALL;64/66;7
KATTENBUG;1;7
NEUE MAASTRICHTER STR.;24;7
EHRENSTR.;57/59;7
AACHENER STR.;512;7
HORNSTR.;;7
ARNIKAWEG;24;7
NEUSSER STR.;53-55;7
ARNIMSTR.;2;7
BRUNHILDENWEG;17;7
ARNO-HOLZ-STR.;20-26;7
ROONSTR.;96;7
BRUKTERERSTR.;4/6;7
FRANKSTR.;;7
MAX-SLEVOGT-STR.;12;7
PALMENWEG;13;7
GUDRUNSTR. RO;7;7
GROSSER GRIECHENMARKT;2;7
KARLSTR. PO;10;7
DILLENBURGER STR.;7;7
NEUSSER STR.;527;7
GRASEGGERSTR.;158;7
GRABENGASSE;5-7;7
PALANTERSTR.;26;7
MAYBACHSTR.;48 B;7
BERTRAMSTR.;105;7
MAYBACHSTR.;76;7
GUILLEAUMESTR.;KITA;7
GROSSER GRIECHENMARKT;1;7
LINA-BOMMER-WEG;;7
MAYBACHSTR.;78;7
KAUTSCHUKSTR.;2;7
GÜLICHPLATZ;;7
MAYBACHSTR.;80;7
JABACHSTR.;;7
DÖBRABERGSTR.;113;7
KARLSTR. PO;10-12;7
EVERHARDSTR.;77;7
GOEBENSTR.;3;7
HIBISKUSWEG;36;7
MAYBACHSTR.;88;7
ARNULFSTR.;12;7
LIMBURGER STR.;3-5;7
GROSSE BUDENGASSE;;7
GUMPRECHTSTR.;15;7
SCHLEHENWEG;;7
FRANZ-CLOUTH-STR.;3;7
GUMPRECHTSTR.;3;7
DOMKLOSTER;;7
HIBISKUSWEG;30;7
LIMBURGER STR.;26;7
KREUZGASSE;2A;7
HUGO-JUNKERS-STR.;5;7
MEISTER-EKKEHART-STR.;3;7
HUGO-PREUSS-STR.;14;7
HERWARTHSTR.;1;7
LIMBURGER STR.;19;7
HEIDESTR. PO;246;7
BERTHA-SANDER-STR.;5-1;7
BRÜDERSTR.;1;7
GÖRLINGER-ZENTRUM;14;7
HUGO-PREUSS-STR.;18;7
FÜRSTENBERGSTR.;;7
OVERSTOLZENSTR.;11;7
LIMBURGER STR.;16;7
GUNTHERSTR. RO;;7
BRÜCKER MAUSPFAD;;7
KAUTSCHUKSTRASSE;3;7
HUHNSGASSE;12/14;7
DOMSTR.;37;7
HEIDESTR. PO;250;7
MELATENGÜRTEL;110;7
GLADBACHER STR.;35;7
GROSSE BRINKGASSE;14-16;7
FÜRSTENBERGSTR.;29;7
FÜRSTENBERGSTR.;28-30;7
MELATENGÜRTEL;92;7
ATHENER RING;16;7
BELFORTSTR.;11;7
HUHNSGASSE;27;7
MELCHIORSTR.;8;7
LIESERSTR.;;7
JOSEPHSTR.;27;7
BROICHSTR.;32;7
FILZENGRABEN;18;7
SCHILLINGSTR.;30;7
OTTO-FISCHER-STR.;13;7
FRANZISKA-ANNEKE-STR.;3A;7
GUSTAVSTR.;33;7
HUHNSGASSE;9/11;7
KÖRNERSTR.;94;7
HAUPTSTR. PO;434;7
LIEBIGSTR.;58;7
HÜLCHRATHER STR.;33;7
DOMSTR.;88;7
GRONAUER STR.;34;7
ACKERSTR.;10;7
DOMSTR.;91;7
LIEBIGSTR.;37;7
FRIESENSTR.;72-74;7
BERTHA-SANDER-STR.;21-23;7
AACHENER STR.;217;7
FULDAER STR.;3-5;7
FULDAER STR.;2;7
OSTLANDSTR.;55A;7
RUPPRECHTSTR.;14;7
SCHMITTGASSE;;7
MERHEIMER STR.;157;7
MERHEIMER STR.;160;7
OSTLANDSTR.;47-49;7
BRENIGER STR.;;7
FRIEDRICH-KARL-STR.;42;7
EICHSTR.;19;7
BERTHA-SANDER-STR.;13-15;7
HÜLTZSTR.;13;7
LICHTSTR.;19;7
BERTHA-SANDER-STR.;13;7
OSTLANDSTR.;29;7
ALTEBURGER STR.;109A;7
GUTENBERGSTR.;9-11;7
HAUPTSTR. PO;405-407;7
AACHENER STR.;539;7
EICHENDORFFSTR.;18-20;7
BREITE STR.;48-50;7
HASELNUSSWEG;3;7
BREITE STR.;2/4;7
MERHEIMER STR.;271;7
MERHEIMER STR.;279;7
HERZOGSTR.;40-42;7
HASELNUSSWEG;23;7
KARLSTR. PO;6-8;7
IM KLAPPERHOF;50;7
KREFELDER WALL;93;7
HAUPTSTR. PO;398;7
MERHEIMER STR.;45;7
BENEDIKTUSGASSE;5;7
RÖSRATHER STR.;667;7
DREIKÖNIGENSTR.;2;7
GOTTESWEG;20;7
ALTEBURGER STR.;105;7
MERHEIMER STR.;73;7
OSTHEIMER STR.;21;7
MERHEIMER STR.;83;7
LERCHENSPORNWEG;33;7
MERHEIMER STR.;96;7
LEOSTR. PO;7;7
HÜLTZSTR.;28-30;7
MERKENICHER HAUPTSTR.;189;7
BRAUNSTR.;14;7
MERKENICHER STR.;171;7
HABSBURGERRING;3;7
AUF DEM STALLBERG;11;7
AUF DEM STALLBERG;13;7
FRIESENSTR.;52;7
LEOSTR.;53;7
HACKETÄUERSTR.;38;7
ISABELLENSTR.;27A;7
FRANZSTR.;25;7
HASELBERGSTR.;4;7
KAROLINGERRING;20-22;7
FRIEDRICHSTR.;55;7
HACKETÄUERSTR.;70;7
KERPENER STR.;87;7
BRANDENBURGER STR.;3-5;7
BRANDENBURGER STR.;23;7
BRANDENBURGER STR.;22-24;7
FRIESENSTR.;50;7
LENTSTR.;4;7
KERPENER STR.;91;7
JOSEPHSKIRCHSTR.;1;7
GRENGELER MAUSPFAD;139;7
MERKERHOFSTR.;10;7
RUPPINER STR.;19;7
KERPENER STR.;62;7
NELKENSTR.;9;7
SCHILLINGSTR.;46;7
KEUPSTR.;114;7
NEUSSER STR.;377-379;7
ERZBERGERPLATZ;14;7
MERKERHOFSTR.;3;7
OSKAR-JÄGER-STR.;179;7
HÜLTZSTR.;37;7
FRANZSTR.;49;7
BRABANTER STR.;7-9;7
BERRENRATHER STR.;361;7
LEICHWEG;;7
DUISBURGER STR.;34;7
ROTHENBURGER STR.;17;7
OPPENHEIMSTR.;;7
MEROWINGERSTR.;18;7
EUSKIRCHENER STR.;70;7
DUISBURGER STR.;4-6;7
LEICHTENSTERNSTR.;5/7;7
KERPENER STR.;47;7
OLPENER STR.;851;7
MEROWINGERSTR.;25;7
BRABANTER STR.;2;7
BRABANTER STR.;17-19;7
LEICHTENSTERNSTR.;19;7
OLPENER STR.;839;7
OLPENER STR.;795;7
OLPENER STR.;793;7
BERGISCH GLADBACHER STR.;114;7
NEUSSER STR.;373;7
HERIBERTUSSTR.;14;7
KEUPSTR.;33;7
HANS-WILLY-MERTENS-STR.;7;7
FRIEDRICH-NAUMANN-STR.;3;7
KEUPSTR.;52-54;7
DÜNNWALDER STR.;10;7
SCHILLSTR.;11;7
KEUPSTR.;59;7
LEIBLPLATZ;1;7
MEROWINGERSTR.;50;7
BÖRSENPLATZ;;7
ESCHER STR.;269;7
ÖLBERGSTR.;;7
ALARICHSTR.;10;7
ERNST-CASSEL-STR.;3-5;7
HEIMBACHER STR.;5;7
AUGUSTSTR.;14;7
HÜTTENSTR.;2-2A;7
HÜTTENSTR.;2-4;7
GREMBERGER STR.;92;7
DÜNNWALDER STR.;36/38;7
LECHENICHER STR.;19;7
MESMERSTR.;5-7;7
BONNER WALL;96;7
BONNER WALL;94;7
GRASEGGERSTR.;93;7
METTERNICHER STR.;27;7
AUGUST-VON-WILLICH-STR.;119;7
KEUPSTR.;79;7
METZER STR.;15;7
ODENWALDSTR.;98;7
KEVELAERER STR.;;7
SCHILLSTR.;5;7
FRÖBELSTR.;38-40;7
KIELSWEG;27;7
JOSEFINE-CLOUTH-STRASSE;28;7
KIERBERGER STR.;24;7
BONNER WALL;106;7
LAUDAHNSTR.;5;7
GOTENRING;19-21;7
KIESKAULERWEG;140;7
DÜPPELSTR.;5;7
FELIX-REXHAUSEN-PLATZ;;7
ISABELLENSTR.;2-4;7
OBERSTR.;125;7
MEVISSENSTR.;12;7
AUWEILERSTR.;51;7
HÄNDELSTR.;2;7
BERRENRATHER STR.;351;7
MEVISSENSTR.;2B;7
EUSKIRCHENER STR.;17;7
KINKELSTR.;3;7
NESSELRODESTR.;18;7
HARDEFUSTSTR.;14;7
JOSEF-BOSCHBACH-WEG;;7
OBERE DORFSTR.;6;7
LAUDAHNSTR.;17-19;7
SACHSENRING;43;7
FREIHERR-VOM-STEIN-STR.;3;7
HEINRICH-BÜTZLER-STR.;3;7
ERFURTER STR.;37;7
BERLINER STR.;927;7
NUSSBAUMERSTR.;84;7
GIESSENER STR.;1;7
BONNER STR.;8-10;7
FREIHERR-VOM-STEIN-STR.;4;7
KIRCHSTR. RO;12;7
NUSSBAUMERSTR.;284-286;7
EIFELSTR.;50;7
BONNER STR.;62-64;7
KIRCHSTR. RO;2;7
FRÖBELPLATZ;7;7
LASSALLESTR.;52;7
KIRCHSTR. RO;7;7
DÜRENER STR.;155;7
SACHSENRING;6;7
BERRENRATHER STR.;340;7
BENESISSTR.;64-66;7
MITTELSTR.;20-26;7
LASSALLESTR.;40;7
MITTELSTR.;20/26;7
NORDSTR.;54;7
GOTTFRIED-KELLER-STR.;;7
NEUSSER STR.;358-360;7
NORDSTR.;18;7
ILTISSTR.;116-118;7
ALBERTUSSTR.;10/12;7
LASKER-SCHÜLER-STR.;14;7
SCHLEIERMACHERSTR.;2;7
KONRADSTR.;14;7
NORDSTR.;15;7
NORDSTR.;10;7
MITTELSTR.;42;7
BERLINER STR.;946;7
LANGOBARDENSTR.;64;7
GOTTESWEG;29;7
EVERHARDSTR.;61-59;7
KARTÄUSERHOF;22;7
MITTELSTR.;44-46;7
KISSINGER STR.;4;7
IM WEICHSERHOF;1;7
HAUPTSTR. PO;356;7
DÜRENER STR.;211-213;7
FRITZ-LEHMANN-STR.;9;7
SCHMALBEINSTR.;96-139;7
FRIDOLINSTR.;40;7
KITSCHBURGER STR.;224;7
NEUSSER STR.;29-33;7
ENNENSTR.;13;7
KORNRADENWEG;;7
MOHRENSTR.;10;7
DÜRENER STR.;232A;7
BACHEMER STR.;85;7
KITSCHBURGER STR.;238;7
ISABELLENSTR.;11;7
GOTTFRIED-KELLER-STR.;6;7
KATHARINENHOF;8;7
SCHMALBEINSTR.;9-10;7
BACHEMER STR.;92;7
DÜRENER STR.;243;7
BONNER STR.;221;7
NORBERTSTR.;18-20;7
ESCHWEILERSTR.;4;7
BENJAMINSTR.;2;7
DÜRENER STR.;253;7
NESSELWEG;58;7
KLARASTR.;15;7
ENGELSSTR.;14;7
ENGELSSTR.;1;7
MOHRENSTR.;41;7
LANDMANNSTR.;21;7
MOHRENSTR.;8;7
SCHLÖSSERSTR.;;7
GOTTESWEG;31-33;7
KLARASTR.;34;7
ENGELBERTSTR.;59;7
FRITZ-FIGGE-STR.;9-11;7
LANDGRAFENSTR.;98A;7
RUDI-JAEHNE-STRASSE;5;7
KARTÄUSERWALL;24 B;7
IRISWEG PO;46;7
HACKLÄNDERSTR.;31;7
DÜRENER STR.;361B;7
NOHLSTR.;16;7
DÜRENER STR.;361C;7
NOHLSTR.;15;7
GLADBACHER STR.;44;7
MOLTKESTR.;25-27;7
LANDGRAFENSTR.;76;7
NOBELSTR.;14;7
ILTISSTR.;48;7
NIKOLAUSSTR.;74-76;7
BAHNHOFSTR. PO;2A-4;7
BERLINER STR.;27;7
LANDGRAFENSTR.;54;7
BOLTENSTERNSTR.;131;7
MOLTKESTR.;73;7
IRISWEG PO;42;7
LANDGRAFENSTR.;49;7
BERLINER STR.;25;7
LANDGRAFENSTR.;47;7
KARTÄUSERWALL;31;7
SCHLEIERMACHERSTR.;23-25;7
DÜRENER STR.;387;7
ENGELBERTSTR.;41;7
LANDGRAFENSTR.;43;7
KARTÄUSERWALL;33;7
HARDEFUSTSTR.;8;7
KARTÄUSERWALL;35;7
ESENBECKSTR.;7;7
ENGELBERTSTR.;28;7
KARTÄUSERWALL;38;7
NIEHLER STR.;92;7
KLEINE BUDENGASSE;13-15;7
BOISSEREESTR.;13;7
NIEHLER STR.;86;7
BAHNHOFSTR. SÜ;38;7
BAHNHOFSTR. SÜ;42;7
ALBERTUSSTR.;13-17;7
SCHIRMERSTR.;29;7
KARTÄUSERWALL;65;7
NIEHLER STR.;412;7
ESSERSTR.;73A;7
FRIESENWALL;68;7
ESSERSTR.;;7
GOTTESWEG;18;7
DÜRENER STR.;72;7
EMMERICHER STR.;6-10;7
IM BRUCH PO;;7
MONTANUSSTR.;111;7
KYLLSTR.;2;7
IM DAU;10;7
BALDUINSTR.;1A;7
DÜRENER STR.;84/86;7
KYLLSTR.;16B;7
IM DAU;12;7
NIEHLER STR.;306-308;7
FRIEDENSTR.;39;7
BOCHUMER STR.;11;7
DÜRENER STR.;92;7
BALDUINSTR.;;7
FRIESENWALL;58;7
SCHLACKSTR.;;7
MONTANUSSTR.;55;7
KLEINE WITSCHGASSE;17;7
BERGISCH GLADBACHER STR.;595;7
NEUSSER STR.;194;7
KYLLBURGER STR.;4;7
KYLLBURGER STR.;2;7
KYLLBURGER STR.;14;7
ETRUSKERSTR.;;7
FRIEDENSTR. RO;;7
NIEHLER STR.;219;7
MONTANUSSTR.;72;7
NIEHLER STR.;207;7
NEUSSER STR.;195-197;7
INTZESTR.;9;7
MONTANUSSTR.;93;7
AACHENER STR.;60-62;7
EIGELSTEIN;68;7
ALARICHSTR.;31;7
BERLINER STR.;116;7
IM DAU;16-18A;7
NEUSSER STR.;349-351;7
NIEHLER STR.;151-153;7
SANDGLÖCKCHENWEG;56;7
NIEHLER STR.;139;7
KASEMATTENSTR.;20;7
FALCKENSTEINSTR.;4;7
DÜSSELDORFER STR.;37;7
KLEISTSTR. WE;2;7
KURFÜRSTENSTR.;2A;7
BARBARASTR.;14;7
SEBASTIANSTR.;138;7
MOSELSTR.;12;7
SANDGLÖCKCHENWEG;5;7
NEUSSER STR.;349;7
KURFÜRSTENSTR.;24;7
AKAZIENWEG PO;20;7
BERRENRATHER STR.;217;7
BERRENRATHER STR.;215;7
BARBARASTR.;70;7
BLUMENSTR.;20;7
MOSELSTR.;42;7
DÜSSELDORFER STR.;8;7
KLETTENBERGGÜRTEL;50;7
KREFELDER STR.;19-21;7
FRIESENSTR.;41;7
KLETTENBERGGÜRTEL;54;7
KLETTENBERGGÜRTEL;56;7
KREMENTZSTR.;5A;7
KLETTENBERGGÜRTEL;57;7
KLETTENBERGGÜRTEL;60;7
JAN-WELLEM-STR.;23;7
KLETTENBERGGÜRTEL;61;7
KUPFERGASSE;2/4;7
FALCKENSTEINSTR.;17;7
BLÜCHERSTR.;21;7
IM DAU;3;7
ROTHEHAUSSTR.;43;7
ELSASSSTR.;59;7
HEINRICH-BILLSTEIN-STR.;9-11;6
HEIMBACHER STR.;24;6
HEIDKAMPSTR.;2;6
HEIDEMANNSTR.;84;6
HEIDELBERGER STR.;9;6
HEIDELBERGER STR.;53;6
GOETHESTR. WE;42/44;6
GOETHESTR. WE;48;6
HEIDELBERGER STR.;31;6
HEDWIG-WACHENHEIM-KARREE;5;6
HEDWIG-WACHENHEIM-KARREE;3;6
HEDWIG-WACHENHEIM-KARREE;15;6
HEBBELSTR.;12;6
GOLTSTEINSTR.;43;6
ROSSSTR.;14;6
ROSSSTR.;1;6
HÄUSCHENSWEG;21A;6
ALPENROSENWEG;3;6
GÖRLINGER-ZENTRUM;26;6
HAUPTSTR. PO;395;6
HAUPTSTR. PO;390;6
HAUPTSTR. PO;367;6
GOTENRING;4-6;6
HAUPTSTR. PO;335;6
GOTENRING;5;6
GOTENRING;53;6
GOTENRING;56;6
GOTTESWEG;112;6
HASELNUSSWEG;23-25;6
GOTTESWEG;17;6
HASELBERGSTR.;6;6
GOTTESWEG;40;6
HASELBERGSTR.;17;6
HARTWICHSTR.;76-74;6
HARTWICHSTR.;59-61;6
GOTTESWEG;75;6
HARTWICHSTR.;30;6
HARTWICHSTR.;119;6
HARTWICHSTR.;117;6
HARDEFUSTSTR.;9;6
HANSESTR.;23;6
GRAF-ADOLF-STR.;22;6
GRAF-ADOLF-STR.;68;6
GRAF-ADOLF-STR.;75;6
HANSARING;63;6
GRAFENMÜHLENWEG;;6
HANSARING;4;6
HANSARING;19;6
GRASEGGERSTR.;22;6
HÄNDELSTR.;8;6
HÄNDELSTR.;51;6
HÄNDELSTR.;26-28;6
ROSENSTR.;27;6
HÄNDELSTR.;16;6
GRASNELKENWEG;11;6
HAMMERSCHMIDTSTR.;96;6
GRASNELKENWEG;23;6
HAMBURGER STR.;1;6
ROSENSTR.;17;6
ROSENSTR.;16;6
ROSENSTR.;14;6
GREESBERGSTR.;4;6
HAHNENSTR.;33-37;6
HAHNENSTR.;16A;6
GREMBERGER STR.;58;6
HACKETÄUERSTR.;86;6
ALTEBURGER STR.;103;6
GRENZHAUSENER WEG;;6
GYRHOFSTR.;19;6
GREVENSTR.;15;6
GUTENBERGSTR.;61-63;6
GUSTAVSTR.;41;6
GRONAUER STR.;45;6
GUSTAV-NACHTIGAL-STR.;39;6
GROSSE BRINKGASSE;2/4;6
GROSSE BRINKGASSE;5;6
GUNTHERSTR. PO;80;6
ALTEBURGER STR.;121;6
GUMPRECHTSTR.;10;6
GUILLEAUMESTR.;2-6;6
GUILLEAUMESTR.;16;6
GROSSER GRIECHENMARKT;9;6
GRÜNSTR.;52;6
GRÜNGÜRTELSTR.;14;6
GROSSE TELEGRAPHENSTR.;27;6
GRÜNER BRUNNENWEG;92;6
GRÜNER BRUNNENWEG;74;6
GROSSE TELEGRAPHENSTR.;9-11;6
GROSSE WITSCHGASSE;15A;6
GROSSE WITSCHGASSE;1A;6
GROSSE WITSCHGASSE;52-54;6
GROSSE WITSCHGASSE;56;6
AACHENER STR.;229;6
ROONSTR.;45;6
ALTEBURGER STR.;207;6
SCHWALBENGASSE;38-40;6
ROLSHOVER STR.;24;6
ROLSHOVER STR.;216;6
ALTEBURGER STR.;31;6
ROLSHOVER STR.;10;6
ROLANDSTR.;97A;6
ALTEBURGER STR.;53;6
ALTEBURGER STR.;74;6
AACHENER STR.;259;6
ALTEBURGER WALL;4;6
ALTEBURGER WALL;6;6
ALTE FISCHENICHER STR.;;6
AACHENER STR.;28;6
RÖHRERGASSE;;6
ALTENBERGER STR.;17;6
ROGGENDORFSTR.;;6
ALTENBERGER STR. PO;;6
ROCKENHAUSER STR.;11;6
ROCHUSSTR.;79;6
ALTENHOFSTR.;1;6
ROBERTSTR.;19;6
ALTER MÜHLENWEG;17;6
SCHUMACHERRING;65;6
ROBERT-KOCH-STR.;12;6
ROBERT-BOSCH-STR.;;6
ALTONAER STR.;55;6
ALTONAER STR.;;6
ALZEYER STR.;;6
RIPHAHNSTR.;9;6
RIPHAHNSTR.;16;6
RINGSTR. RO;18;6
SCHULSTR. WE;49;6
RIEHLER STR.;5;6
RIEHLER STR.;39;6
RIEHLER STR.;36;6
RIEHLER STR.;35;6
RIEHLER STR.;27;6
AM BOTANISCHEN GARTEN;2;6
RIEHLER PLATZ;5;6
AM BRAUNSACKER;122;6
SCHULSTR. WE;38;6
RIEHLER GÜRTEL;33;6
RIEHLER GÜRTEL;27;6
RIEHLER GÜRTEL;25;6
AM BRAUNSACKER;72-120;6
RIEHLER GÜRTEL;15;6
AM DUFFESBACH;15;6
RICHMODSTR.;21-23;6
AM DUFFESBACH;;6
AM EIFELTOR;;6
SCHULSTR. WE;31;6
RICHARD-WAGNER-STR.;31;6
RICHARD-WAGNER-STR.;18;6
RICHARD-WAGNER-STR.;16;6
RICHARD-STRAUSS-STR.;7;6
AM FROHNWEIHER;;6
RICHARD-BYRD-STR.;18;6
RICARDA-HUCH-STR.;35;6
AM GREINSHOF;4;6
RHÖNDORFER STR.;72;6
RHEINGASSE;11;6
AM HUSHOLZ;12;6
SCHULSTR. WE;25;6
RHEINAUSTR.;22;6
AACHENER STR.;34;6
RHEINAUSTR.;1;6
AACHENER STR.;352;6
RENNBAHNSTR.;145;6
RENNBAHNSTR.;111;6
RENDSBURGER PLATZ;14;6
SCHULSTR. WE;14;6
REMSCHEIDER STR.;38;6
SCHULSTR. PO;;6
REMIGIUSSTR.;57;6
REMIGIUSSTR.;49;6
REMIGIUSSTR.;47;6
REMIGIUSSTR.;43;6
REMIGIUSSTR.;18-22;6
REMIGIUSSTR.;14;6
SCHULSTR.;51;6
REISCHPLATZ;2C;6
REISCHPLATZ;2;6
REINHOLDSTR.;21;6
REINHOLDSTR.;10;6
REGENTENSTR.;58;6
REESER STR.;9;6
RAUTENSTRAUCHSTR.;78B-C;6
RAUTENSTRAUCHSTR.;74;6
RAUTENSTRAUCHSTR.;72A;6
RAUTENSTRAUCHSTR.;72;6
RAUTENSTRAUCHSTR.;71;6
RATHER STR.;;6
AM SONNENHUT;277;6
AM SONNENHUT;279;6
AMSTERDAMER STR.;213;6
AMSTERDAMER STR.;216;6
RATHAUSSTR.;18;6
RATHAUSSTR.;17E;6
RATHAUSSTR.;13;6
AMSTERDAMER STR.;223;6
RASCHDORFFSTR.;;6
AMSTERDAMER STR.;232;6
SCHÖSSLERSTR.;2;6
AM TRUTZENBERG;19;6
AM TRUTZENBERG;5;6
AM WALZWERK;;6
AM WEIDENBACH;25;6
AM WEIDENBACH;26-28;6
POSTSTR.;29;6
POSTSTR.;27-29;6
AM WEYERTOR;;6
PORZER STR.;;6
AN DEN ROLSHOVER GÄRTEN;8;6
POLLER HAUPTSTR.;46/46 A;6
AN DER ALTEN POST;22;6
POHLMANSTR.;;6
AN DER BASTION;11;6
POHLIGSTR.;2;6
AN DER BOTTMÜHLE;16;6
AN DER BOTTMÜHLE;7;6
PLATANENWEG;;6
PLANKGASSE;42;6
PLANKGASSE;18;6
PIUSSTR.;78;6
AN DER KEMPERWIESE;3A;6
PIUSSTR.;51;6
PIUSSTR.;46;6
PIUSSTR.;45;6
PIUSSTR.;42;6
PIUSSTR.;24;6
AN DER LINDE;11-13;6
PIUSSTR.;129;6
PIUSSTR.;127;6
PIPINSTR.;14-16;6
AN DER PULVERMÜHLE;3-5;6
PICCOLOMINISTR.;302;6
PHILIPPSTR.;33;6
ANDREAESTR.;26;6
PFEILSTR.;32/34;6
PFEILSTR.;28-30;6
ANDREAS-MUHR-STR.;;6
PFARRIUSSTR.;1;6
ANISWEG;26;6
AACHENER STR.;455-457;6
ANKERSTR.;10;6
PFÄLZER STR.;20;6
AACHENER STR.;4-6;6
PFÄLZER STR.;13;6
PFAFFENPFÄDCHEN;45;6
PETER-STÜHLEN-STR.;96;6
PETER-STÜHLEN-STR.;126;6
PETER-STÜHLEN-STR.;102;6
ANNOSTR.;41;6
PETERSTR.;9/11;6
ANNOSTR.;82;6
PETERSTR.;23-27;6
PETERSTR.;21-23;6
PETERSTR.;17-25;6
SCHÖNHAUSER STR.;19A;6
ANSBACHER STR.;;6
ANSGARSTR. HE;;6
AN ST.AGATHA;31;6
PETERSBERGSTR.;1;6
PETER-MÜLLER-STR.;1;6
PETER-MIEBACH-WEG;19;6
AN ST.LAURENTIUS;;6
